"name","friends_count","screen_name","location","description","listed_count","followers_count","favourites_count","id","created_at","user_key","lang","verified","time_zone","statuses_count"
"Samir Gooden",794,"SamirGooden","USA","Young (in spirit), Gifted and Black. Proud Progressive Woman. A Man Who Stands For Nothing Will Fall For Anything- Malcolm X (MY ADDITION) #MalcolmX #BLM",11,873,2237,"1672624255","Thu Aug 15 08:09:52 +0000 2013","samirgooden","en",false,"Eastern Time (US & Canada)",1739
"Gabriella Aldana",3020,"Gab1Aldana","USA","❤ Love my life ❤",31,3356,3861,"1674083671","Thu Aug 15 21:02:22 +0000 2013","gab1aldana","en",false,"Eastern Time (US & Canada)",3861
"Chad Sloyer",872,"ChadSloyer","USA","i was a good kid. never said I was a good adult. - Terrance Howard",11,797,3081,"1676377446","Fri Aug 16 18:51:11 +0000 2013","chadsloyer","en",false,"Eastern Time (US & Canada)",2446
"Emilee Waren",1501,"EmileeWaren","USA","•Christian•Constitutional•Capitalist •NRA•Supporting Military•Police •Wife•Mom",23,1909,1778,"1676481360","Fri Aug 16 19:50:47 +0000 2013","emileewaren","en",false,"Eastern Time (US & Canada)",2170
"Gwendolyn Lovet",875,"GwennyThot","Baton Rouge, LA","I HAVE TOO MANY FLAWS TO BE PERFECT BUT I HAVE TOO MANY BLESSINGS TO BE UNGRATEFUL ❤❤",16,1055,3124,"1677048979","Sat Aug 17 01:20:54 +0000 2013","gwennythot","en",false,"Eastern Time (US & Canada)",2597
"Amelie Baldwin",1930,"AmelieBaldwin","USA","Wife, Mother, Patriot, Friend",160,2464,14540,"1679279490","Sat Aug 17 22:53:07 +0000 2013","ameliebaldwin","en",false,"Eastern Time (US & Canada)",15227
"Rosie Wise",637,"RosieOnFleek","USA","'So, About That' on YT. Your woke big sister.
#Woke #BlackAndProud #BLM",23,683,1353,"1680578719","Sun Aug 18 11:56:48 +0000 2013","rosieonfleek","en",false,"Eastern Time (US & Canada)",1229
"Jerry",2279,"camosaseko","Chicago, IL","Enjoy your life and don't interfere in mine",27,2608,10088,"1681162956","Sun Aug 18 17:12:57 +0000 2013","camosaseko","en",false,"Eastern Time (US & Canada)",9703
"Peyton Cash",746,"PeytonCashOut","USA","#blackpride. Opinions, insights and witticisms are all free! #NiggaThatCares",12,770,1964,"1682444790","Mon Aug 19 05:55:49 +0000 2013","peytoncashout","en",false,"Eastern Time (US & Canada)",1576
"Will Wise",812,"DatWiseNigga","USA","Squad goin' up, nobody flippin' packs now
#IloveMakonnen4life",16,904,2393,"1684524144","Tue Aug 20 00:53:56 +0000 2013","datwisenigga","en",false,"Eastern Time (US & Canada)",1844
"Chase Bacon",707,"BLMSoldier","USA","#BlackLivesMatter Future Guest on Pardon The Interruption, Around the Horn & Highly Questionable...",25,696,2129,"1685173321","Tue Aug 20 07:33:54 +0000 2013","blmsoldier","en",false,"Eastern Time (US & Canada)",1889
"John Larsen",852,"J0hnLarsen","America","stand 4 conservatism, patriotism & optimism. Protect our Kids! #WakeUpAmerica",21,541,3211,"1685718216","Tue Aug 20 13:02:28 +0000 2013","j0hnlarsen","en",false,"Eastern Time (US & Canada)",2387
"Stanley Parrish",1149,"StanleyParris","USA","I attribute my success to this: I never gave or took any excuse.",9,849,1975,"1685771767","Tue Aug 20 12:59:48 +0000 2013","stanleyparris","en",false,"Eastern Time (US & Canada)",1761
"Archie Olivers",3396,"ArchieOlivers","United States","My patriotic heart beats red, white, & blue.Just a guy in one of those fly over states! #2A",28,2569,1006,"1686370159","Tue Aug 20 17:49:51 +0000 2013","archieolivers","en",false,"Pacific Time (US & Canada)",1854
"Bleep The Police",8071,"BleepThePolice","USA","For a second at least, I'm resurrecting the peace

#Blacktivist #BlackLivesMatter",163,13196,11083,"1687183549","Wed Aug 21 01:49:22 +0000 2013","bleepthepolice","en",false,"Eastern Time (US & Canada)",13727
"Watch Jenny Walkin'",547,"WatchMeWalkin","Georgia, USA","Working - Music geek + Blacker than BlackHole",10,851,2214,"1688370956","Wed Aug 21 13:49:48 +0000 2013","watchmewalkin","en",false,"Pacific Time (US & Canada)",2259
"Michelle Arrington",3290,"MichelleArry","USA","Cautiously Optimistic Conservative. Gathering followers one at a time",42,3229,2157,"1690487623","Thu Aug 22 08:41:12 +0000 2013","michellearry","en",false,"Eastern Time (US & Canada)",2433
"Reginald Blackmon",931,"RegieBlackmon","Los Angeles, CA","I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",10,856,2558,"1691736218","Thu Aug 22 18:06:53 +0000 2013","regieblackmon","en",false,"Eastern Time (US & Canada)",1997
"Cornell Burchett",720,"CornellBurchet","Los Angeles, CA","A world for a few, a few to justice, lands in the hands of a few, few to education, wealth for a few. A world composed of an arrogant elite, perverse and biased",19,766,2166,"1692501152","Fri Aug 23 01:00:15 +0000 2013","cornellburchet","en",false,"Eastern Time (US & Canada)",1786
"Jackie Best",1757,"JacquelinIsBest","United States","I love God,my family & politics. Conservative. MARRIED!
#tcot #PJNET",31,2078,3518,"1694026190","Fri Aug 23 14:41:32 +0000 2013","jacquelinisbest","en",false,"Eastern Time (US & Canada)",3416
"Kelvin Chambers",1260,"Kelvin_Chambers","United States","Father of twin daughters. Conservative Republican. Interested in world events, politics, and sports. RT= whatever I find interesting",32,1506,984,"1695830984","Sat Aug 24 07:32:29 +0000 2013","kelvin_chambers","en",false,"Pacific Time (US & Canada)",1576
"Randolph Burris",917,"RandolphBurrr","Texas, USA","#FreeGucci
Blacktivist, I'm down with #BlackLivesMatter and #BRONZE 
United we stand",10,876,2552,"1699979024","Sun Aug 25 19:28:17 +0000 2013","randolphburrr","en",false,"Eastern Time (US & Canada)",1914
"",,"Pamela_Moore13","","",,,,"4272870988","","pamela_moore13","",,"",
"Zachary Freeman",831,"ZzzacharyZzz","Baltimore, MD","i work out hard as fuck, bench press and lift as much as I can, so if me and the cops ever get into it… God bless the one that I grab #FTP #ACAB #BlackPower",14,899,2290,"1701955429","Mon Aug 26 13:25:39 +0000 2013","zzzacharyzzz","en",false,"Eastern Time (US & Canada)",1700
"Steven Cook",1454,"CooknCooks","United States","HI FBI !!! #TRUMP, #Trump2016, @realdonaldtrum, #WAKEUPAMERICA, #MakeAmericaGreatAgain, #SOCIALMEDIA, #Blogger, #PJNET, #CCOT, #Chicago,, #MASTER, #MUSIC,",15,1468,2447,"1710804738","Thu Aug 29 19:45:40 +0000 2013","cookncooks","en",false,"Pacific Time (US & Canada)",2188
"One Mighty Fish",831,"OneMightyFish","USA","People are just afraid of things too much. Afraid of things that don't necessarily merit fear  - Franc Ocean
#BlackToLive",13,698,1978,"1715190968","Sat Aug 31 09:33:57 +0000 2013","onemightyfish","en",false,"Eastern Time (US & Canada)",1718
"Mackenzie Donovan",577,"KenzDonovan","United States","Const Conservative Patriot Mamma❤️Defending #Liberty & #Freedom!❤️Luv #fam #friends #dogs & dancing cha-cha-cha!❤️",10,536,2609,"1715424829","Sat Aug 31 11:06:09 +0000 2013","kenzdonovan","en",false,"Eastern Time (US & Canada)",2300
"Jasmin Jacobs",575,"Jani_s_Jac","USA","i aint shit now, but bitch i might be ✨
#FreeGuwop #BlackLivesALWAYSMattered",10,906,2405,"1716228906","Sat Aug 31 17:14:08 +0000 2013","jani_s_jac","en",false,"Eastern Time (US & Canada)",2217
"Ida Marks",925,"IIddaaMarks","USA","An unexamined life is not worth living. –Socrates",14,1080,3051,"1716561367","Sat Aug 31 19:07:08 +0000 2013","iiddaamarks","en",false,"Eastern Time (US & Canada)",2194
"Donna from USA",1552,"DonnaBRivera","USA","Constitutional Conservative #1A #2A #NRA #StandWithIsrael #TCOT #CCOT #LNYHBT #ProLife #SupportMilitary #BlueLivesMatter #SecureTheBorder #GodBlessAmerica",33,1623,1772,"1720117201","Sun Sep 01 20:02:10 +0000 2013","donnabrivera","en",false,"Eastern Time (US & Canada)",2341
"Hunter Odom",2001,"HunterOddddom","USA","Life is 10% what happens to me and 90% of how I react to it. –Charles Swindoll",24,2727,2615,"1720981580","Mon Sep 02 02:57:06 +0000 2013","hunteroddddom","en",false,"Eastern Time (US & Canada)",2076
"Fluffy Melvin",2658,"MelvinSRoberts","","Internet junkie #hashtagwars lover!",30,3169,3562,"1727482238","Wed Sep 04 03:45:27 +0000 2013","melvinsroberts","en",false,"Eastern Time (US & Canada)",4874
"Clyde Pratt",847,"mrclydepratt","USA, Atlanta","Life is a beautiful struggle. Seek enlightenment, not hate
#BlackToLive",23,914,1996,"1768259989","Sat Sep 07 19:16:06 +0000 2013","mrclydepratt","en",false,"Eastern Time (US & Canada)",1978
"Dorothie",2315,"DorothieBell","USA","Conservative wife, mother! Extremely proud of our veterans!! Lets take this once great country back!!!",33,1893,3166,"1833223908","Sun Sep 08 19:08:41 +0000 2013","dorothiebell","en",false,"Eastern Time (US & Canada)",3069
"Deandre Gregory",415,"OGDeandre","Florida, USA","Read the mess I tweet & retweet about & you'll have an idea of the kinda person I am✌",11,774,1989,"1856828959","Thu Sep 12 09:04:03 +0000 2013","ogdeandre","en",false,"Eastern Time (US & Canada)",1703
"Michael Garcia",453,"DrMichaelGarcia","US","I make privileged people upset #BlackLivesMatter #FistsUpAfrosOut",11,851,2937,"1859674386","Fri Sep 13 06:39:11 +0000 2013","drmichaelgarcia","en",false,"Eastern Time (US & Canada)",2295
"Briana Ragland",415,"brianaregland","USA","Black is my religion. If you buy me lipstick we go together #AllBlackEverything #WokeAF",12,768,3221,"1868496344","Sun Sep 15 17:11:49 +0000 2013","brianaregland","en",false,"Eastern Time (US & Canada)",2938
"Ryan Maxwell",1990,"RyanMaxwell_1","United States","Conservative. sports fan. Doing what I love, promoting Conservatism. #PJNET #TCOT #Conservative",25,1839,1102,"1868981054","Sun Sep 15 19:45:16 +0000 2013","ryanmaxwell_1","en",false,"Pacific Time (US & Canada)",1853
"Raven Nicholson",860,"ravenicholson","NYC","Everybody deserves to know they too can be the hero of a story. I’m just a regular guy trying to put those heroes in stories",10,807,2437,"1914760610","Sat Sep 28 17:17:28 +0000 2013","ravenicholson","en",false,"Eastern Time (US & Canada)",1645
"Артур Буранов",1628,"ArturBuranof","Москва, Россия","Лучшее средство привить детям любовь к отечеству состоит в том, чтобы эта любовь была у отцов.",1,405,615,"2233297178","Fri Dec 06 17:29:56 +0000 2013","arturburanof","ru",false,"Yerevan",1350
"Бучин Боря",215,"Boryabuchin","Москва, Россия","Москва, как много в этом звуке Для сердца русского слилось, Как много в нем отозвалось!",1,108,1476,"2388391757","Thu Mar 06 13:29:09 +0000 2014","boryabuchin","ru",false,"Baku",1357
"Мистер Пудинг",85,"Puddin_Leto","","Вы верите в дружбу, а я верю в шантаж.",0,81,2264,"2404145297","Wed Mar 12 07:09:51 +0000 2014","puddin_leto","ru",false,"Moscow",1310
"Артём Захаров",69,"teZaharov","Москва, Россия","Высшая доблесть состоит в том, чтобы совершать в одиночестве то, на что люди отваживаются лишь в присутствии многих свидетелей.",0,2111,406,"2415525154","Sun Mar 16 16:04:57 +0000 2014","tezaharov","ru",false,"Volgograd",586
"Валентина Дмитриева",811,"Valeyina_Dm","Мурманск","Против белоленточной чумы #ЯПатриотка",1,2466,354,"2419886435","Tue Mar 18 11:53:29 +0000 2014","valeyina_dm","ru",false,"Moscow",1312
"БогданКравцов",1564,"BogdanKravcov","Санкт-Петербург","Любовь к Отечеству - это готовность защищать его независимость.",4,2741,908,"2422793627","Wed Mar 19 15:33:40 +0000 2014","bogdankravcov","ru",false,"Baku",1619
"Алексей Лапин",679,"_SashaLapin","","У Пушкина есть грандиозная фраза...
Гордиться славою своих предков не только можно, но и должно. Не уважать оной есть постыдное малодушие",4,2219,345,"2478383999","Sat Apr 12 09:09:27 +0000 2014","_sashalapin","ru",false,"Volgograd",1237
"Warfare Worldwide",7481,"WarfareWW","","Political & Military Analyst",565,23876,247,"2484642526","Mon Apr 14 17:32:56 +0000 2014","warfareww","en",false,"St. Petersburg",2618
"Wade Harriot",1040,"wadeharriot","USA","Christian, Husband, Father, American, Conservative, Tea Party, Fisherman, Gun Owner, Engineer, USN Vet #BodyLife #TCOT #TGDN #2A #TPFA #CruzCrew #PJNET",25,1363,4478,"2491081213","Mon May 12 07:50:03 +0000 2014","wadeharriot","en",false,"Eastern Time (US & Canada)",3089
"Jadon Hutchinson",1234,"JadonHutchinson","USA","People often say that motivation doesn’t last. Well, neither does bathing. That’s why we recommend it daily.",28,888,2831,"2492948562","Tue May 13 13:09:48 +0000 2014","jadonhutchinson","en",false,"Eastern Time (US & Canada)",2139
"Мария Котова",62,"Kotovamarys","Калининград, Россия","Родина там, где чувствуешь себя свободно.",1,4515,990,"2494509505","Wed May 14 18:11:36 +0000 2014","kotovamarys","ru",false,"Volgograd",747
"San Francisco Daily",5128,"DailySanFran","San Francisco, CA","Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran",159,16812,1,"2495567768","Thu May 15 03:22:22 +0000 2014","dailysanfran","en",false,"Pacific Time (US & Canada)",32546
"Jake Fischer",1828,"interFischer","United States","I believe in God, Bible, Country, 2nd Amendment rights. I Stand by Israel, Supporter of TRADITIONAL Marriage
#RedNationRising",15,1609,494,"2498271878","Fri May 16 10:36:48 +0000 2014","interfischer","en",false,"Eastern Time (US & Canada)",1033
"Таисия Авдеева",279,"TaisiaAvdeeva","Москва, Россия","Сегодня я настоящая ватница: в ватнике, со сладкой ватой и только что от Соловьева",1,2535,2168,"2501947239","Tue Apr 22 14:33:37 +0000 2014","taisiaavdeeva","ru",false,"Volgograd",937
"Ольга Ильина",87,"patriotka_rusi","Москва","умная",4,75,631,"2504171440","Wed Apr 23 14:33:08 +0000 2014","patriotka_rusi","ru",false,"Moscow",548
"Руслан Рогов",75,"russilanrogov","Калуга, Россия","Умом Россию не понять, Аршином общим не измерить: У ней особенная стать — В Россию можно только верить.",3,4507,1644,"2512420407","Sun Apr 27 11:14:41 +0000 2014","russilanrogov","ru",false,"Volgograd",657
"Невротик",120,"rusnevrotik","","",1,97,2658,"2512994207","Sun Apr 27 16:34:47 +0000 2014","rusnevrotik","ru",false,"Moscow",1912
"Старая разведчица",549,"razvedchica_","Я везде","За Россию! Знаю много, говорю мало",3,2360,1261,"2514979491","Mon Apr 28 15:37:43 +0000 2014","razvedchica_","ru",false,"Volgograd",1135
"Вячеслав Пономарёв",274,"ponomarevSlav","Москва, Россия","",2,76,545,"2524942055","Sat May 03 07:34:27 +0000 2014","ponomarevslav","ru",false,"Moscow",490
"Виктория Борисова",189,"ViBorisova","Ярославль, Россия","На первом месте должны быть родина и родители, потом дети и вся семья, а затем остальные родственники.",0,2513,908,"2525032463","Sat May 03 08:41:33 +0000 2014","viborisova","ru",false,"Volgograd",594
"Николай Черненко",243,"ChernenkoNikola","Москва","Патриотизм, чей бы то ни был, доказывается не словом, а делом.",2,2233,427,"2527537955","Sun May 04 08:18:36 +0000 2014","chernenkonikola","ru",false,"Volgograd",1243
"Роман Агафонов",379,"RomanAgafonovv","Москва, Россия","Человек, а это в наше время редкость!",1,2452,393,"2527804618","Sun May 04 10:31:27 +0000 2014","romanagafonovv","ru",false,"Moscow",835
"Степан Сазонов",202,"StepanSazono","Питер","Только доблесть бессмертно живет, Ибо храбрые славны вовеки!",2,2204,759,"2527983201","Sun May 04 12:03:24 +0000 2014","stepansazono","ru",false,"Volgograd",529
"Василич",192,"VasilichVasili","Москва","Попади только на чужбину, так начнешь уверять, что у нас свиньи жареные разгуливают.",2,2495,442,"2528245959","Sun May 04 14:12:42 +0000 2014","vasilichvasili","ru",false,"Volgograd",938
"Антон Ерофеенко",252,"ErofeenkoAnton","Moscow","Десантников бывших не бывает! Воин дяди Васи, события на Украине не одобряю!",1,2189,419,"2528293132","Sun May 04 14:30:32 +0000 2014","erofeenkoanton","ru",false,"Volgograd",701
"Алексей Соколов",1702,"Aleksey_Sokol_","Москва","Член ВПП Единая Россия, , зам. председателя МГЕР МО Марьино",4,337,2853,"2530603456","Mon May 05 09:35:10 +0000 2014","aleksey_sokol_","ru",false,"Yerevan",2669
"Tracy Brooks",3353,"traceyhappymom","Washington, DC","Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.",21,3696,3778,"2531159968","Mon May 05 14:13:47 +0000 2014","traceyhappymom","en",false,"Eastern Time (US & Canada)",4655
"Bruce Dublin",1807,"BrucieDublin","USA","",23,2161,1854,"2532597577","Thu May 29 12:43:47 +0000 2014","bruciedublin","en",false,"Eastern Time (US & Canada)",2995
"Kathie",3157,"KathieMrr","Atlanta","Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",22,2970,2094,"2532611755","Thu May 29 12:50:04 +0000 2014","kathiemrr","en",false,"Eastern Time (US & Canada)",4267
"Jasper Flynn",1782,"Jasper_Fly","USA","#hashtagwarrior and your mom knows it!",15,1957,2416,"2533001646","Thu May 29 16:57:09 +0000 2014","jasper_fly","en",false,"Eastern Time (US & Canada)",3379
"Eva Green",2884,"EvaGreen69","USA","God comes 1st. My Daughters, & my husband retired Navy Vet, are the center of my world.. Serving the Lord for the rest of my life. TRUMP 2016!",46,2668,1325,"2533653547","Thu May 29 23:40:26 +0000 2014","evagreen69","en",false,"Eastern Time (US & Canada)",1831
"Роман Горолов",119,"romanGorolov","Чита","Работаю в Государственной ветеринарной службе Забайкальского края. Вижу Россию сильной страной",2,2452,876,"2533984805","Wed May 07 14:14:55 +0000 2014","romangorolov","ru",false,"Moscow",1080
"F.R.I.E.N.D.S",11,"6Druz","","Если я стану похож на своих родителей, то либо стану блондинкой-алкоголичкой, которая гоняется за двадцатилетними парнями, либо буду, как моя мама.",0,70,2751,"2534875924","Thu May 08 09:32:12 +0000 2014","6druz","ru",false,"Moscow",2024
"Paola Kinck",2956,"PaolaKinck","USA","stand 4 conservatism, patriotism & optimism: Don't Take My Lemonade Stand & Obama 2012 Slogans.Protect our Kids! #WakeUpAmerica",24,2145,2082,"2535166748","Fri May 30 14:14:48 +0000 2014","paolakinck","en",false,"Eastern Time (US & Canada)",3518
"Hailey Romano",1539,"heyheyhailey","Atlanta","",8,1857,1542,"2535218881","Fri May 30 14:34:05 +0000 2014","heyheyhailey","en",false,"Eastern Time (US & Canada)",2035
"Caleb Paar",1698,"CalebPaar","Atlanta","",12,1374,1438,"2535353390","Fri May 30 15:56:10 +0000 2014","calebpaar","en",false,"Eastern Time (US & Canada)",2983
"Kendra",1307,"happkendrahappy","New York","Stop trying to fix the POLICE; fix the GHETTO! 

#WakeUpAmerica #TCOT #PJNET #BlueLivesMatter",32,1688,2301,"2535818742","Fri May 30 20:55:46 +0000 2014","happkendrahappy","en",false,"Eastern Time (US & Canada)",2746
"Danny",1548,"dannythehappies","Atlanta, Georgia","You know you're in love when you can't fall asleep because reality is finally better than your dreams",17,1857,1405,"2536146374","Sat May 31 00:27:24 +0000 2014","dannythehappies","en",false,"Eastern Time (US & Canada)",2191
"Колорад",106,"Kolradskiy_Zhuk","Барнаул, Россия","Люблю Россию и ничего не могу с собой поделать",4,2412,1061,"2537592520","Fri May 09 19:02:53 +0000 2014","kolradskiy_zhuk","ru",false,"Moscow",795
"Прынцесса",151,"sovasof","","нельзя выбросить человека из головы.
а из окна - можно.",1,168,843,"2538941639","Sat May 10 12:05:13 +0000 2014","sovasof","ru",false,"Volgograd",1158
"Chris",2134,"holycrapchrix","Atlanta, GA","Addicted to #hashtag #games",34,2456,2768,"2540596597","Mon Jun 02 02:03:39 +0000 2014","holycrapchrix","en",false,"Eastern Time (US & Canada)",4237
"Stanley Cox",2859,"Stanley_Cox_","USA","christian, pro life,conservative,strong supporter of Israel. Constitutionalist, #2A supporter",27,2508,930,"2540758755","Sun May 11 10:33:38 +0000 2014","stanley_cox_","en",false,"Central Time (US & Canada)",1410
"Toby Kress",1676,"heyits_toby","US","Guardian of the Animals, Conservative, DIY'er, ninja #tcot",10,1424,1011,"2540882036","Mon Jun 02 06:34:52 +0000 2014","heyits_toby","en",false,"Eastern Time (US & Canada)",1396
"Ленка Воропаева",50,"GvardeykaLena","Санкт-Петербург","Вступай в #МолодаяГвардия",1,2160,312,"2541215075","Sun May 11 15:53:17 +0000 2014","gvardeykalena","ru",false,"Moscow",549
"Eric Roberts",1770,"mr_clampin","Atlanta","",13,2011,2403,"2541945841","Mon Jun 02 18:05:55 +0000 2014","mr_clampin","en",false,"Eastern Time (US & Canada)",3777
"Chicago Daily News",7063,"ChicagoDailyNew","Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",214,19525,10,"2547141851","Wed May 14 10:48:50 +0000 2014","chicagodailynew","en",false,"Central Time (US & Canada)",39293
"More",145,"MsM0re","","Об твое сердце мог бы разбиться даже Титаник.",1,126,1980,"2547539571","Wed May 14 15:09:05 +0000 2014","msm0re","ru",false,"Volgograd",1083
"Алексей Владимиров",71,"AlexsVladimirov","Москва","",0,2211,1679,"2559217373","Thu May 22 18:47:02 +0000 2014","alexsvladimirov","ru",false,"Volgograd",620
"Олег Лапин",129,"LapinOlegg","Москва, Россия","Любовь к родине — первое достоинство цивилизованного человека.",3,83,307,"2559850571","Fri May 23 05:39:16 +0000 2014","lapinolegg","ru",false,"Volgograd",432
"Статский Советник",373,"SovetnikStatski","Москва","Говорунов много, а бойцов, на всю Россию — я и эти трое!",2,2147,772,"2563274242","Sun May 25 10:39:05 +0000 2014","sovetnikstatski","ru",false,"Volgograd",978
"Сергей Брянцев",3,"Sergbriantsev","Москва","Только одно отечество заключает в себе то, что дорого всем.",0,51,748,"2568897527","Wed May 28 12:37:40 +0000 2014","sergbriantsev","ru",false,"Yerevan",1280
"Lora Green",3363,"LoraGreeen","New - York","Be the change that you wish to see in the world",32,4009,3676,"2569229674","Wed May 28 16:02:11 +0000 2014","loragreeen","en",false,"Eastern Time (US & Canada)",5867
"Memphis Online",5751,"OnlineMemphis","Memphis, TN","Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements",113,18704,3,"2570017414","Thu May 29 01:01:16 +0000 2014","onlinememphis","en",false,"Central Time (US & Canada)",4223
"Aiden Ramsey",1527,"Aiden7757","USA","In order to succeed, your desire for success should be greater than your fear of failure.",17,1794,1711,"2570250275","Thu May 29 09:58:50 +0000 2014","aiden7757","en",false,"Eastern Time (US & Canada)",2284
"Politweecs",25600,"Politweecs","United States","Tweets and politics",117,32846,51,"2570631118","Thu May 29 16:09:26 +0000 2014","politweecs","en",false,"Central Time (US & Canada)",559
"Моно",497,"shapka_mono","","Ясно - и конец диалогу",1,102,1331,"2571344730","Mon Jun 16 17:49:33 +0000 2014","shapka_mono","ru",false,"Volgograd",935
"Detroit Daily News",5144,"DetroitDailyNew","Detroit, Michigan","Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7",193,18617,4,"2571870453","Fri May 30 07:24:00 +0000 2014","detroitdailynew","en",false,"Central Time (US & Canada)",18924
"Anthony Porter",1408,"toneporter","USA","",10,1545,1367,"2571997365","Fri May 30 09:13:02 +0000 2014","toneporter","en",false,"Central Time (US & Canada)",2196
"Leroy Barton",1321,"LeroyLovesUSA","USA","Conservative #tcot #pjnet ReTweets ≠ Endorsement
#GodBlessAmerica",9,1545,976,"2572058134","Fri May 30 09:52:16 +0000 2014","leroylovesusa","en",false,"Eastern Time (US & Canada)",1501
"Justin",1855,"hipppo_","US","Striving for excellence motivates you; striving for perfection is demoralizing",9,1969,1520,"2572092279","Fri May 30 10:41:42 +0000 2014","hipppo_","en",false,"Eastern Time (US & Canada)",2148
"Михаил Новиков",1148,"mihanovikov","Russia","Мила нам добра весть о нашей стороне: Отечества и дым нам сладок.",9,912,1088,"2574715662","Wed Jun 18 12:14:15 +0000 2014","mihanovikov","ru",false,"Volgograd",765
"Глеб Никонов",165,"GlebNikon","Ростов-на-Дону, Россия","Патриот — это человек, служащий родине, а родина — это прежде всего народ.",0,2464,227,"2575046530","Sun Jun 01 09:39:52 +0000 2014","glebnikon","ru",false,"Volgograd",807
"Сергеев Анатолий",206,"Sergeev_Tolik","Санкт-Петербург ","Те, кто отвергает религию, со временем теряют уважение к таким ценностям и понятиям, как честь, родина и нация.",0,2467,392,"2575471053","Sun Jun 01 14:50:02 +0000 2014","sergeev_tolik","ru",false,"Volgograd",956
"ДенИс",70,"Denn_Nikitin","","",0,87,1719,"2577152109","Mon Jun 02 10:35:09 +0000 2014","denn_nikitin","ru",false,"Moscow",1479
"Борис Елисеев",229,"BorisEleseev","Россия","Служу России!!!",0,2163,320,"2578226850","Fri Jun 20 07:35:09 +0000 2014","boriseleseev","ru",false,"Volgograd",581
"Cоюзники России",2926,"russianallies","Тула, Тульская область","Александр III: У России есть только два союзника: её Армия и Флот. 
Новости об армии из оружейной столицы России",134,21072,0,"2578422308","Fri Jun 20 10:17:19 +0000 2014","russianallies","en",false,"Abu Dhabi",15364
"Proud Robert",1834,"RealRobert1987","USA","Faith, Honesty, Family, Work, Self Discipline, Loyalty, Courage, Defending Innocent, Personal Responsibility. Patriot. Conservative
#WakeUpAmerica",17,1982,639,"2579342751","Tue Jun 03 04:02:16 +0000 2014","realrobert1987","en",false,"Baku",1325
"Jacky",1427,"queenofthewo","Montgomery","I have not failed. I've just found 10,000 ways that won't work",11,1704,1275,"2584152521","Thu Jun 05 12:27:57 +0000 2014","queenofthewo","en",false,"Eastern Time (US & Canada)",2233
"Валя Бочарников",1372,"Bocharnikov_V","Москва, Россия","И дым отечества нам сладок и приятен!",3,212,1080,"2586491520","Tue Jun 24 23:36:30 +0000 2014","bocharnikov_v","ru",false,"Nairobi",1368
"Александр Харитонов",136,"AlexHarritonov","Москва","Общественный деятель",1,2231,521,"2586506586","Tue Jun 24 23:50:56 +0000 2014","alexharritonov","ru",false,"Moscow",1257
"Jude Lambert",1525,"JudeLambertUSA","USA","God. Country. Family. #tcot
#RedNationRising  #InGodWeTrust",21,1688,939,"2587100717","Fri Jun 06 13:58:27 +0000 2014","judelambertusa","en",false,"Central Time (US & Canada)",1515
"KansasCityDailyNews",5169,"KansasDailyNews","Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",166,25356,1,"2587843805","Fri Jun 06 19:56:04 +0000 2014","kansasdailynews","en",false,"Central Time (US & Canada)",42560
"Cassie Weltch",1415,"CassieWeltch","USA","Ask and it will be given to you; search, and you will find; knock and the door will be opened for you",8,1710,1381,"2589353987","Sat Jun 07 13:13:24 +0000 2014","cassieweltch","en",false,"Eastern Time (US & Canada)",2455
"Raphael",1555,"PatriotRaphael","USA","Pissed off patriot. #2A supporter #tcot
#WakeUpAmerica",19,1313,989,"2590038478","Sat Jun 07 18:41:41 +0000 2014","patriotraphael","en",false,"Eastern Time (US & Canada)",1521
"Pittsburgh Today",6350,"TodayPittsburgh","Pittsburgh, PA","Pittsburgh's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",145,18917,7,"2601235821","Wed Jun 11 14:24:00 +0000 2014","todaypittsburgh","en",false,"Eastern Time (US & Canada)",32006
"Jarrard",1354,"JarrardNorman","USA","What’s money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.",18,1738,1416,"2604334823","Thu Jun 12 18:16:18 +0000 2014","jarrardnorman","en",false,"Eastern Time (US & Canada)",2189
"Donald Finley",1187,"finley1589","USA","Conservative. Politics. Pro-Life. Writer. 
#GodBlessAmerica #WakeUpAmerica #InGodWeTrust",41,1409,6237,"2606301939","Fri Jun 13 13:35:19 +0000 2014","finley1589","en",false,"Central Time (US & Canada)",4283
"Amy Green",3303,"AmandaVGreen","United States","You have to go through the worst to arrive at your best",37,3557,2672,"2616344667","Tue Jun 17 05:45:51 +0000 2014","amandavgreen","en",false,"Eastern Time (US & Canada)",4461
